YY  MM DD hh mm   DEPTH  OTMP   COND   SAL   O2% O2PPM  CLCON  TURB    PH    EH
yr  mo dy hr   mn     m  degC  mS/cm   psu     %   ppm   ug/l   FTU     -    mv
2008 11 12 13 00     1.0 99.00 999.00 99.00 999.0  9.30   2.20     3 99.00 99.00
2008 11 12 14 00     1.0 99.00 999.00 99.00 999.0  9.50   2.00     2 99.00 99.00
2008 11 12 16 00     1.0 99.00 999.00 99.00 999.0  9.40   2.90     2 99.00 99.00
2008 11 12 17 00     1.0 99.00 999.00 99.00 999.0  9.70   3.20     2 99.00 99.00
2008 11 12 18 00     1.0 99.00 999.00 99.00 999.0  9.90   2.80     2 99.00 99.00
2008 11 12 19 00     1.0 99.00 999.00 99.00 999.0  9.80   2.90     2 99.00 99.00
2008 11 12 20 00     1.0 99.00 999.00 99.00 999.0  9.60   2.70     2 99.00 99.00
2008 11 12 21 00     1.0 99.00 999.00 99.00 999.0  9.70   3.10     2 99.00 99.00
2008 11 12 22 00     1.0 99.00 999.00 99.00 999.0  9.50   2.80     2 99.00 99.00
2008 11 12 23 00     1.0 99.00 999.00 99.00 999.0  9.40   2.60     3 99.00 99.00
2008 11 13 00 00     1.0 99.00 999.00 99.00 999.0  9.40   2.50     2 99.00 99.00
2008 11 13 01 00     1.0 99.00 999.00 99.00 999.0  9.20   2.30     3 99.00 99.00
2008 11 13 02 00     1.0 99.00 999.00 99.00 999.0  9.40   2.40     2 99.00 99.00
2008 11 13 03 00     1.0 99.00 999.00 99.00 999.0  9.40   2.50     2 99.00 99.00
2008 11 13 04 00     1.0 99.00 999.00 99.00 999.0  9.40   2.50     2 99.00 99.00
2008 11 13 05 00     1.0 99.00 999.00 99.00 999.0  9.50   2.70     2 99.00 99.00
2008 11 13 06 00     1.0 99.00 999.00 99.00 999.0  9.70   2.70     2 99.00 99.00
2008 11 13 07 00     1.0 99.00 999.00 99.00 999.0  9.70   2.80     2 99.00 99.00
2008 11 13 08 00     1.0 99.00 999.00 99.00 999.0  9.80   2.80     2 99.00 99.00
2008 11 13 10 00     1.0 99.00 999.00 99.00 999.0  9.50   3.10     2 99.00 99.00
2008 11 13 13 00     1.0 99.00 999.00 99.00 999.0  9.50   2.20     2 99.00 99.00
2008 11 13 14 00     1.0 99.00 999.00 99.00 999.0  9.60   2.70     2 99.00 99.00
2008 11 13 15 00     1.0 99.00 999.00 99.00 999.0  9.60   3.00     2 99.00 99.00
2008 11 13 16 00     1.0 99.00 999.00 99.00 999.0  9.50   2.30     3 99.00 99.00
2008 11 13 17 00     1.0 99.00 999.00 99.00 999.0  9.20   2.40     2 99.00 99.00
2008 11 13 18 00     1.0 99.00 999.00 99.00 999.0  9.00   2.50     2 99.00 99.00
2008 11 13 19 00     1.0 99.00 999.00 99.00 999.0  9.00   2.20     2 99.00 99.00
2008 11 13 20 00     1.0 99.00 999.00 99.00 999.0  9.00   2.10     2 99.00 99.00
2008 11 13 21 00     1.0 99.00 999.00 99.00 999.0  9.00   2.50     3 99.00 99.00
2008 11 13 22 00     1.0 99.00 999.00 99.00 999.0  9.00   2.50     3 99.00 99.00
2008 11 13 23 00     1.0 99.00 999.00 99.00 999.0  9.00   2.30     2 99.00 99.00
2008 11 14 00 00     1.0 99.00 999.00 99.00 999.0  8.90   2.00     3 99.00 99.00
2008 11 14 01 00     1.0 99.00 999.00 99.00 999.0  9.00   2.30     3 99.00 99.00
2008 11 14 02 00     1.0 99.00 999.00 99.00 999.0  9.30   2.20     3 99.00 99.00
2008 11 14 03 00     1.0 99.00 999.00 99.00 999.0  9.00   2.20     2 99.00 99.00
2008 11 14 04 00     1.0 99.00 999.00 99.00 999.0  9.20   2.80     2 99.00 99.00
2008 11 14 05 00     1.0 99.00 999.00 99.00 999.0  9.20   2.70     2 99.00 99.00
2008 11 14 06 00     1.0 99.00 999.00 99.00 999.0  9.40   2.60     2 99.00 99.00
2008 11 14 07 00     1.0 99.00 999.00 99.00 999.0  9.40   2.50     2 99.00 99.00
2008 11 14 08 00     1.0 99.00 999.00 99.00 999.0  9.40   2.40     2 99.00 99.00
2008 11 14 09 00     1.0 99.00 999.00 99.00 999.0  9.40   2.40     2 99.00 99.00
2008 11 14 10 00     1.0 99.00 999.00 99.00 999.0  9.40   2.30     2 99.00 99.00
