YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 03 22 17 40 212  4.0  4.7 99.00 99.00 99.00 999 1010.3  11.2 999.0 999.0 99.0 99.00
2014 03 22 17 50 208  3.6  4.2 99.00 99.00 99.00 999 1010.2  11.0 999.0 999.0 99.0 99.00
2014 03 22 18 00 161  2.5  3.7 99.00 99.00 99.00 999 1010.0  10.0   5.6 999.0 99.0 99.00
2014 03 22 18 10 155  2.7  3.5 99.00 99.00 99.00 999 1009.8   9.1 999.0 999.0 99.0 99.00
2014 03 22 18 20 161  1.7  2.1 99.00 99.00 99.00 999 1009.7   9.7 999.0 999.0 99.0 99.00
2014 03 22 18 30 212  1.2  2.4 99.00 99.00 99.00 999 1009.6   9.9 999.0 999.0 99.0 99.00
2014 03 22 18 40 194  3.7  4.9 99.00 99.00 99.00 999 1009.6  10.3 999.0 999.0 99.0 99.00
2014 03 22 18 50 192  4.3  5.2 99.00 99.00 99.00 999 1009.5  10.6 999.0 999.0 99.0 99.00
2014 03 22 19 00 194  5.2  6.5 99.00 99.00 99.00 999 1009.5  11.0   5.7 999.0 99.0 99.00
2014 03 22 19 10 195  5.5  6.1 99.00 99.00 99.00 999 1009.4  11.2 999.0 999.0 99.0 99.00
2014 03 22 19 20 194  4.8  6.7 99.00 99.00 99.00 999 1009.5  11.5 999.0 999.0 99.0 99.00
2014 03 22 19 30 193  5.5  7.5 99.00 99.00 99.00 999 1009.5  11.9 999.0 999.0 99.0 99.00
2014 03 22 19 40 194  4.6  6.5 99.00 99.00 99.00 999 1009.6  12.1 999.0 999.0 99.0 99.00
2014 03 22 19 50 204  4.6  6.1 99.00 99.00 99.00 999 1009.7  12.5 999.0 999.0 99.0 99.00
2014 03 22 20 00 226  4.1  6.1 99.00 99.00 99.00 999 1009.8  14.5   5.6 999.0 99.0 99.00
2014 03 22 20 10 265  3.5  7.0 99.00 99.00 99.00 999 1009.9  16.5 999.0 999.0 99.0 99.00
